State,Clinton,Bush,Perot,Marrou,Others
Alabama,690080,804283,183109,5737,4851
Alaska,78294,102000,73481,1378,3353
Arizona,543050,572086,353741,6781,11348
Arkansas,505823,337324,99132,1261,7113
California,5121325,3630574,2296006,48139,35677
Colorado,629681,562850,366010,8669,1970
Connecticut,682318,578313,348771,5391,1539
Delaware,126054,102313,59213,935,1105
District of Columbia ,192619,20698,9681,467,4107
Florida,2072698,2173310,1053067,15079,238
Georgia,1008966,995252,309657,7110,148
Hawaii,179310,136822,53003,1119,2588
Idaho,137013,202645,130395,1167,10894
Illinois,2453350,1734096,840515,9218,12978
Indiana,848420,989375,455934,7936,4206
Iowa,586353,504891,253468,1076,8819
Kansas,390434,449951,312358,4314,199
Kentucky,665104,617178,203944,4513,2161
Louisiana,815971,733386,211478,3155,26027
Maine,263420,206504,206820,1681,1074
Maryland,988571,707094,281414,4715,3252
Massachusetts,1318662,805049,632312,7458,10093
Michigan,1871182,1554940,824813,10175,13563
Minnesota,1020997,747841,562506,3374,13230
Mississippi,400258,487793,85626,2154,5962
Missouri,1053873,811159,518741,7497,0
Montana,154507,144207,107225,986,3658
Nebraska,217344,344346,174687,1344,1562
Nevada,189148,175828,132580,1835,6927
New Hampshire,209040,202484,121337,3548,806
New Jersey,1436206,1356865,521829,6822,21872
New Mexico,261617,212824,91895,1615,2035
New York,3444450,2346649,1090721,13451,31654
North Carolina,1114042,1134661,357864,5171,112
North Dakota,99168,136244,71084,416,1221
Ohio,1984942,1894310,1036426,7252,17034
Oklahoma,473066,592929,319878,4486,0
Oregon,621314,475757,354091,4277,7204
Pennsylvania,2239164,1791841,902667,21477,4661
Rhode Island,213299,131601,105045,571,2961
South Carolina,479514,577507,138872,2719,3915
South Dakota,124888,136718,73295,814,539
Tennessee,933521,841300,199968,1847,6002
Texas,2281815,2496071,1354781,19699,1652
Utah,183429,322632,203400,1900,32637
Vermont,133592,88122,65991,501,1495
Virginia,1038650,1150517,348639,5730,15129
Washington,993037,731234,541780,7533,13981
West Virginia,331001,241974,108829,1873,0
Wisconsin,1041066,930855,544479,2877,11837
Wyoming,68160,79347,51263,844,270
