State,Clinton,Dole,Perot,Nader,Browne,Other
Alabama,662165,769044,92149,0,5290,5701
Alaska,80380,122746,26333,7597,2276,2288
Arizona,653288,622073,112072,2062,14358,552
Arkansas,475171,325416,69884,3649,3076,7066
California,5119835,3828380,697847,237016,73600,62806
Colorado,671152,691848,99629,25070,12392,10613
Connecticut,735740,483109,139523,24321,5788,4133
Delaware,140355,99062,28719,18,2052,639
District of Columbia ,158220,17339,3611,4780,588,1188
Florida,2546870,2244536,483870,4101,23965,452
Georgia,1053849,1080843,146337,0,17870,172
Hawaii,205012,113943,27358,10386,2493,928
Idaho,165443,256595,62518,0,3325,3838
Illinois,2341744,1587021,346408,1447,22548,12223
Indiana,887424,1006693,224299,1121,15632,673
Iowa,620258,492644,105159,6550,2315,7149
Kansas,387659,583245,92639,914,4557,5286
Kentucky,636614,623283,120396,701,4009,3705
Louisiana,927837,712586,123293,4719,7499,8025
Maine,312788,186378,85970,15279,2996,2486
Maryland,966207,681530,115812,2606,8765,5950
Massachusetts,1571763,718107,227217,4734,20426,14538
Michigan,1989653,1481212,336670,2322,27670,11317
Minnesota,1120438,766476,257704,24908,8271,14843
Mississippi,394022,439838,52222,0,2809,4966
Missouri,1025935,890016,217188,534,10522,13870
Montana,167922,179652,55229,0,2526,1932
Nebraska,236761,363467,71278,0,2792,3117
Nevada,203974,199244,43986,4730,4460,7885
New Hampshire,246214,196532,48390,0,4237,3802
New Jersey,1652329,1103078,262134,32465,14763,11038
New Mexico,273495,232751,32257,13218,2996,1357
New York,3756177,1933492,503458,75956,12220,34826
North Carolina,1107849,1225938,168059,2108,8740,3113
North Dakota,106905,125050,32515,0,847,1094
Ohio,2148222,1859883,483207,2962,12851,27309
Oklahoma,488105,582315,130788,0,5505,0
Oregon,649641,538152,121221,49415,8903,10428
Pennsylvania,2215819,1801169,430984,3086,28000,27060
Rhode Island,233050,104683,43723,6040,1109,1679
South Carolina,504051,573458,64386,0,4271,3291
South Dakota,139333,150543,31250,0,1472,1228
Tennessee,909146,863530,105918,6427,5020,4064
Texas,2459683,2736167,378537,4810,20256,12191
Utah,221633,361911,66461,4615,4129,6880
Vermont,137894,80352,31024,5585,1183,2411
Virginia,1091060,1138350,159861,0,9174,18197
Washington,1123323,840712,201003,60322,12522,15955
West Virginia,327812,233946,71639,0,3062,0
Wisconsin,1071971,845029,227339,28723,7929,15178
Wyoming,77934,105388,25928,0,1739,582
