State,Obama,McCain,Nader,Barr,Baldwin,McKinney,Other
Alabama,813479,1266546,6788,4991,4310,0,3705
Alaska,123594,193841,3783,1589,1660,0,1730
Arizona,1034707,1230111,11301,12555,1371,3406,24
Arkansas,422310,638017,12882,4776,4023,3470,1139
California,8274473,5011781,108381,67582,3145,38774,57764
Colorado,1288633,1073629,13352,10898,6233,2822,5895
Connecticut,997772,629428,19162,0,311,90,34
Delaware,255459,152374,2401,1109,626,385,58
District of Columbia ,245800,17367,958,0,0,590,1138
Florida,4282074,4045624,28124,17218,7915,2887,6902
Georgia,1844123,2048759,1158,28731,1402,250,63
Hawaii,325871,120566,3825,1314,1013,979,0
Idaho,236440,403012,7175,3658,4747,39,51
Illinois,3419348,2031179,30948,19642,8256,11838,1160
Indiana,1374039,1345648,909,29257,1024,87,90
Iowa,828940,682379,8014,4590,4445,1423,7332
Kansas,514765,699655,10527,6706,4148,35,36
Kentucky,751985,1048462,15378,5989,4694,0,112
Louisiana,782989,1148275,6997,0,2581,9187,10732
Maine,421923,295273,10636,251,177,2900,3
Maryland,1629467,959862,14713,9842,3760,4747,9205
Massachusetts,1904097,1108854,28841,13189,4971,6550,14483
Michigan,2872579,2048639,33085,23716,14685,8892,170
Minnesota,1573354,1275409,30152,9174,6787,5174,10319
Mississippi,554662,724597,4011,2529,2551,1034,481
Missouri,1441911,1445814,17813,11386,8201,80,0
Montana,231667,242763,3686,1355,143,23,10665
Nebraska,333319,452979,5406,2740,2972,1028,2837
Nevada,533736,412827,6150,4263,3194,1411,6267
New Hampshire,384826,316534,3503,2217,226,40,3624
New Jersey,2215422,1613207,21298,8441,3956,3636,2277
New Mexico,472422,346832,5327,2428,1597,1552,0
New York,4804945,2752771,41249,19596,634,12801,8935
North Carolina,2142651,2128474,1448,25722,0,158,12336
North Dakota,141278,168601,4189,1354,1199,0,0
Ohio,2940044,2677820,42337,19917,12565,8518,7149
Oklahoma,502496,960165,0,0,0,0,0
Oregon,1037291,738475,18614,7635,7693,4543,13613
Pennsylvania,3276363,2655885,42977,19912,1092,0,17043
Rhode Island,296571,165391,4829,1382,675,797,2121
South Carolina,862449,1034896,5053,7283,6827,4461,0
South Dakota,170924,203054,4267,1835,1895,0,0
Tennessee,1087437,1479178,11560,8547,8191,2499,2337
Texas,3528633,4479328,5751,56116,5708,909,1350
Utah,327670,596030,8416,6966,12012,982,294
Vermont,219262,98974,3339,1067,500,66,1838
Virginia,1959532,1725005,11483,11067,7474,2344,6355
Washington,1750848,1229216,29489,12728,9432,3819,1346
West Virginia,303857,397466,7219,0,2465,2355,89
Wisconsin,1677211,1262393,17605,8858,5072,4216,8062
Wyoming,82868,164958,2525,1594,1192,0,1521
