State,Clinton,Trump,Johnson,Stein,McMullin,Other
Alabama,729547,1318255,44467,9391,0,21712
Alaska,116454,163387,18725,5735,0,14307
Arizona,1161167,1252401,106327,34345,17449,1476
Arkansas,380494,684872,29829,9473,13255,12712
California,8753788,4483810,478500,278657,39596,147244
Colorado,1338870,1202484,144121,38437,28917,27418
Connecticut,897572,673215,48676,22841,2108,508
Delaware,235603,185127,14757,6103,706,1518
District of Columbia,282830,12723,4906,4258,0,6551
Florida,4504975,4617886,207043,64399,0,25736
Georgia,1877963,2089104,125306,7674,13017,1668
Hawaii,266891,128847,15954,12737,0,4508
Idaho,189765,409055,28331,8496,46476,8132
Illinois,3090729,2146015,209596,76802,11655,1627
Indiana,1033126,1557286,133993,7841,0,2712
Iowa,653669,800983,59186,11479,12366,28348
Kansas,427005,671018,55406,23506,6520,947
Kentucky,628854,1202971,53752,13913,22780,1879
Louisiana,780154,1178638,37978,14031,8547,9684
Maine,357735,335593,38105,14251,1887,356
Maryland,1677928,943169,79605,35945,9630,35169
Massachusetts,1995196,1090893,138018,47661,2719,50559
Michigan,2268839,2279543,172136,51463,8177,19126
Minnesota,1367716,1322951,112972,36985,53076,51113
Mississippi,485131,700714,14435,3731,0,5346
Missouri,1071068,1594511,97359,25419,7071,13177
Montana,177709,279240,28037,7970,2297,1894
Nebraska,284494,495961,38946,8775,0,16051
Nevada,539260,512058,37384,0,0,36683
New Hampshire,348526,345790,30777,6496,1064,11643
New Jersey,2148278,1601933,72477,37772,0,13586
New Mexico,385234,319667,74541,9879,5825,3173
New York,4556124,2819534,176598,107934,10373,50890
North Carolina,2189316,2362631,130126,12105,0,47386
North Dakota,93758,216794,21434,3780,0,8594
Ohio,2394164,2841005,174498,46271,12574,27975
Oklahoma,420375,949136,83481,0,0,0
Oregon,1002106,782403,94231,50002,0,72594
Pennsylvania,2926441,2970733,146715,49941,6472,65176
Rhode Island,252525,180543,14746,6220,516,9594
South Carolina,855373,1155389,49204,13034,21016,9011
South Dakota,117458,227721,20850,0,0,4064
Tennessee,870695,1522925,70397,15993,11991,16026
Texas,3877868,4685047,283492,71558,42366,8895
Utah,310676,515231,39608,9438,243690,12787
Vermont,178573,95369,10078,6758,639,23650
Virginia,1981473,1769443,118274,27638,54054,33749
Washington,1742718,1221747,160879,58417,0,133258
West Virginia,188794,489371,23004,8075,1104,4075
Wisconsin,1382536,1405284,106674,31072,11855,38729
Wyoming,55973,174419,13287,2515,0,9655
