State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,2348174,10,12,195681.166667,6.583855
Alaska,55036,,,,
Arizona,334162,1,3,111387.333333,3.316948
Arkansas,1752204,7,9,194689.333333,6.545416
California,3426861,11,13,263604.692308,9.216312
Colorado,939629,4,6,156604.833333,5.069406
Connecticut,1380631,5,7,197233.000000,6.643999
Delaware,223003,1,3,74334.333333,1.880915
DistrictofColumbia,437571,,,,
Florida,968470,4,6,161411.666667,5.255700
Georgia,2895832,12,14,206845.142857,7.016529
Hawaii,255881,,,,
Idaho,431866,2,4,107966.500000,3.184370
Illinois,6485280,27,29,223630.344828,7.667059
Indiana,2930390,13,15,195359.333333,6.571382
Iowa,2404021,11,13,184924.692308,6.166976
Kansas,1769257,8,10,176925.700000,5.856965
Kentucky,2416630,11,13,185894.615385,6.204566
Louisiana,1798509,8,10,179850.900000,5.970335
Maine,768014,4,6,128002.333333,3.960882
Maryland,1449661,6,8,181207.625000,6.022916
Massachusetts,3852356,16,18,214019.777778,7.294590
Michigan,3668412,13,15,244560.800000,8.478244
Minnesota,2387125,10,12,198927.083333,6.709655
Mississippi,1790618,8,10,179061.800000,5.939752
Missouri,3404055,16,18,189114.166667,6.329344
Montana,548889,2,4,137222.250000,4.318211
Nebraska,1296372,6,8,162046.500000,5.280304
Nevada,77407,1,3,25802.333333,0.000000
NewHampshire,443083,2,4,110770.750000,3.293052
NewJersey,3155900,12,14,225421.428571,7.736475
NewMexico,360350,1,3,120116.666667,3.655264
NewYork,10385227,43,45,230782.822222,7.944262
NorthCarolina,2559123,10,12,213260.250000,7.265154
NorthDakota,646872,3,5,129374.400000,4.014058
Ohio,5759394,22,24,239974.750000,8.300506
Oklahoma,2028283,8,10,202828.300000,6.860851
Oregon,783389,3,5,156677.800000,5.072234
Pennsylvania,8720017,36,38,229474.131579,7.893542
RhodeIsland,604397,3,5,120879.400000,3.684824
SouthCarolina,1683724,7,9,187080.444444,6.250524
SouthDakota,636547,3,5,127309.400000,3.934027
Tennessee,2337885,10,12,194823.750000,6.550625
Texas,4663228,18,20,233161.400000,8.036446
Utah,449396,2,4,112349.000000,3.354219
Vermont,352428,2,4,88107.000000,2.414691
Virginia,2309187,10,12,192432.250000,6.457940
Washington,1356621,5,7,193803.000000,6.511065
WestVirginia,1463701,6,8,182962.625000,6.090933
Wisconsin,2632067,11,13,202466.692308,6.846837
Wyoming,194402,1,3,64800.666667,1.511427
