State,Population,Apportionment,Electoral Votes,AverageConstituency,RelativeUnfairness
Alabama,4779736,7,9,531081.777778,1.826778
Alaska,710231,1,3,236743.666667,0.260110
Arizona,6392017,9,11,581092.454545,2.092968
Arkansas,2915918,4,6,485986.333333,1.586749
California,37253956,53,55,677344.654545,2.605288
Colorado,5029196,7,9,558799.555556,1.974310
Connecticut,3574097,5,7,510585.285714,1.717681
Delaware,897934,1,3,299311.333333,0.593138
DistrictofColumbia,601723,,3,200574.333333,0.067593
Florida,18801310,27,29,648321.034483,2.450804
Georgia,9687653,14,16,605478.312500,2.222766
Hawaii,1360301,2,4,340075.250000,0.810111
Idaho,1567582,2,4,391895.500000,1.085934
Illinois,12830632,18,20,641531.600000,2.414666
Indiana,6483802,9,11,589436.545455,2.137381
Iowa,3046355,4,6,507725.833333,1.702461
Kansas,2853118,4,6,475519.666667,1.531038
Kentucky,4339367,6,8,542420.875000,1.887132
Louisiana,4533372,6,8,566671.500000,2.016210
Maine,1328361,2,4,332090.250000,0.767610
Maryland,5773552,8,10,577355.200000,2.073076
Massachusetts,6547629,9,11,595239.000000,2.168266
Michigan,9883640,14,16,617727.500000,2.287965
Minnesota,5303925,8,10,530392.500000,1.823109
Mississippi,2967297,4,6,494549.500000,1.632328
Missouri,5988927,8,10,598892.700000,2.187713
Montana,989415,1,3,329805.000000,0.755446
Nebraska,1826341,3,5,365268.200000,0.944205
Nevada,2700551,4,6,450091.833333,1.395694
NewHampshire,1316470,2,4,329117.500000,0.751787
NewJersey,8791894,12,14,627992.428571,2.342602
NewMexico,2059179,3,5,411835.800000,1.192070
NewYork,19378102,27,29,668210.413793,2.556669
NorthCarolina,9535483,13,15,635698.866667,2.383621
NorthDakota,672591,1,3,224197.000000,0.193329
Ohio,11536504,16,18,640916.888889,2.411395
Oklahoma,3751351,5,7,535907.285714,1.852462
Oregon,3831074,5,7,547296.285714,1.913082
Pennsylvania,12702379,18,20,635118.950000,2.380534
RhodeIsland,1052567,2,4,263141.750000,0.400619
SouthCarolina,4625364,7,9,513929.333333,1.735481
SouthDakota,814180,1,3,271393.333333,0.444539
Tennessee,6346105,9,11,576918.636364,2.070752
Texas,25145561,36,38,661725.289474,2.522151
Utah,2763885,4,6,460647.500000,1.451879
Vermont,625741,1,3,208580.333333,0.110206
Virginia,8001024,11,13,615463.384615,2.275914
Washington,6724540,10,12,560378.333333,1.982714
WestVirginia,1852994,3,5,370598.800000,0.972578
Wisconsin,5686986,8,10,568698.600000,2.027000
Wyoming,563626,1,3,187875.333333,0.000000
