State,Apportionment,Electoral Votes
Alabama,13,15
Alaska,2,4
Arizona,15,17
Arkansas,8,10
California,97,99
Colorado,12,14
Connecticut,10,12
Delaware,2,4
District of Columbia,,3
Florida,46,48
Georgia,23,25
Hawaii,4,6
Idaho,4,6
Illinois,36,38
Indiana,17,19
Iowa,8,10
Kansas,8,10
Kentucky,12,14
Louisiana,13,15
Maine,4,6
Maryland,15,17
Massachusetts,18,20
Michigan,28,30
Minnesota,14,16
Mississippi,8,10
Missouri,16,18
Montana,3,5
Nebraska,5,7
Nevada,6,8
NewHampshire,4,6
NewJersey,24,26
NewMexico,5,7
NewYork,54,56
NorthCarolina,23,25
NorthDakota,2,4
Ohio,32,34
Oklahoma,10,12
Oregon,10,12
Pennsylvania,35,37
RhodeIsland,3,5
SouthCarolina,12,14
SouthDakota,2,4
Tennessee,16,18
Texas,60,62
Utah,6,8
Vermont,2,4
Virginia,20,22
Washington,17,19
WestVirginia,5,7
Wisconsin,15,17
Wyoming,2,4
